#    201
polymer number    rg squared    mean rg
673.0000   730.2628    26.9024
674.0000    16.5393     3.9953
675.0000   328.3378    18.0781
676.0000    17.5797     4.1343
677.0000    21.0277     4.5251
678.0000   106.9655    10.1047
679.0000    13.4278     3.6203
680.0000   517.4987    22.6238
681.0000    13.5574     3.6579
682.0000   2620.0061    51.1238
683.0000   848.0670    29.0973
684.0000   280.9731    16.6867
685.0000    13.6122     3.6191
686.0000   632.4519    25.0883
687.0000    17.2185     4.1095
688.0000    15.4996     3.8880
689.0000    14.3870     3.7476
690.0000   938.5714    30.5648
691.0000   161.1569    12.5880
692.0000    20.0791     4.4195
693.0000    15.3856     3.8445
694.0000    12.5009     3.4473
695.0000   542.5685    23.2018
696.0000   563.9902    23.6662
697.0000   650.8989    25.3966
698.0000    13.1902     3.5738
699.0000    25.2666     4.9623
700.0000   117.2839    10.6144
701.0000    19.0101     4.2660
702.0000    18.9575     4.3037
703.0000   773.9046    27.7998
704.0000    11.2685     3.3277
705.0000    16.2625     3.9863
706.0000    15.4678     3.8209
707.0000   1426.1994    37.6348
708.0000    21.4063     4.5356
709.0000    17.9333     4.1722
710.0000   678.9836    25.9863
711.0000    14.1248     3.6830
712.0000   311.6384    17.5129
713.0000   444.0075    20.8165
714.0000   1263.0451    35.4275
715.0000   131.9037    11.4320
716.0000    23.7709     4.7937
717.0000    20.5232     4.5012
718.0000   570.1238    23.8110
719.0000   920.9201    30.2923
720.0000   1149.8753    33.8758
721.0000   252.1916    15.7600
722.0000    11.7733     3.3928
723.0000   813.5976    28.5076
724.0000    16.3324     3.9556
725.0000   2482.2880    49.7972
726.0000    29.4120     5.2774
727.0000   1084.2398    32.8989
728.0000   790.8590    28.0655
729.0000    13.7150     3.5984
730.0000    11.5011     3.3577
731.0000    12.2248     3.4369
732.0000    17.5786     4.0661
733.0000    23.3031     4.7227
734.0000    19.5344     4.3655
735.0000   223.7489    14.6987
736.0000   366.9316    19.1179
737.0000    15.5690     3.8984
738.0000   893.2776    29.7746
739.0000    24.6971     4.8953
740.0000    12.7298     3.5013
741.0000   392.5910    19.7625
742.0000    12.3214     3.4213
743.0000    16.6623     4.0425
744.0000   605.8594    24.5777
745.0000   868.6075    29.4389
746.0000    13.0847     3.4921
747.0000   243.5414    15.5649
